Date,Close,Open,High,Low,Volume,% Thay đổi
2023-06-09,780000.0,780000.0,780000.0,780000.0,200.0,1.30%
2023-06-12,740000.0,750000.0,780000.0,740000.0,920.0,-5.13%
2023-06-13,760000.0,760000.0,760000.0,760000.0,100.0,2.70%
2023-06-14,765000.0,740000.0,765000.0,740000.0,1750.0,0.66%
2023-06-15,765000.0,741000.0,765000.0,741000.0,1850.0,0.00%
2023-06-16,755000.0,745100.0,760000.0,745100.0,1390.0,-1.31%
2023-06-19,755000.0,755000.0,755000.0,750000.0,1280.0,0.00%
2023-06-20,735000.0,740000.0,740000.0,735000.0,340.0,-2.65%
2023-06-21,730000.0,730000.0,730000.0,730000.0,330.0,-0.68%
2023-06-22,730000.0,730000.0,740000.0,725000.0,840.0,0.00%
2023-06-23,740000.0,749000.0,750000.0,740000.0,1810.0,1.37%
2023-06-26,730000.0,730000.0,730000.0,730000.0,330.0,-1.35%
2023-06-27,726000.0,730000.0,730000.0,726000.0,200.0,-0.55%
2023-06-28,700000.0,730000.0,730000.0,700000.0,420.0,-3.58%
2023-06-30,720000.0,715000.0,720000.0,715000.0,370.0,2.86%
2023-07-03,730000.0,721000.0,730000.0,721000.0,400.0,1.39%
2023-07-04,749000.0,740000.0,765000.0,740000.0,1800.0,2.60%
2023-07-05,730000.0,735000.0,735000.0,730000.0,600.0,-2.54%
2023-07-07,740000.0,745000.0,750000.0,740000.0,3080.0,1.37%
2023-07-11,723000.0,723000.0,723000.0,723000.0,100.0,-2.30%
2023-07-12,740000.0,731000.0,750000.0,730000.0,1300.0,2.35%
2023-07-13,742000.0,740000.0,744000.0,739000.0,1460.0,0.27%
2023-07-14,739000.0,740000.0,740000.0,739000.0,200.0,-0.40%
2023-07-17,710000.0,741000.0,741000.0,700000.0,1400.0,-3.92%
2023-07-18,735000.0,726400.0,735000.0,726400.0,900.0,3.52%
2023-07-19,731000.0,731000.0,731000.0,731000.0,130.0,-0.54%
2023-07-20,732000.0,745000.0,745000.0,732000.0,500.0,0.14%
2023-07-24,739000.0,740000.0,741000.0,737000.0,620.0,0.96%
2023-07-25,740000.0,735000.0,740000.0,731000.0,1600.0,0.14%
2023-07-26,735000.0,735000.0,735000.0,735000.0,120.0,-0.68%
2023-07-27,731000.0,740000.0,740000.0,731000.0,900.0,-0.54%
2023-07-28,739000.0,739000.0,739000.0,738000.0,610.0,1.09%
2023-07-31,760000.0,745000.0,760000.0,745000.0,1740.0,2.84%
2023-08-01,750000.0,750000.0,750000.0,750000.0,130.0,-1.32%
